newspaper,league,date,url
Pittsburg dispatch. [volume],players league,1890-11-13,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-11-13/ed-1/seq-6.pdf
Pittsburg dispatch. [volume],players league,1889-11-25,https://chroniclingamerica.loc.gov/lccn/sn84024546/1889-11-25/ed-1/seq-6.pdf
The Ogden standard. [volume],players league,1914-10-14,https://chroniclingamerica.loc.gov/lccn/sn85058396/1914-10-14/ed-1/seq-2.pdf
Evening journal. [volume],players league,1914-10-28,https://chroniclingamerica.loc.gov/lccn/sn85042354/1914-10-28/ed-1/seq-9.pdf
The Laramie Republican.,players league,1922-08-16,https://chroniclingamerica.loc.gov/lccn/sn92066979/1922-08-16/ed-1/seq-4.pdf
The Indianapolis journal. [volume],players league,1890-10-23,https://chroniclingamerica.loc.gov/lccn/sn82015679/1890-10-23/ed-1/seq-5.pdf
Pittsburg dispatch. [volume],players league,1890-04-03,https://chroniclingamerica.loc.gov/lccn/sn84024546/1890-04-03/ed-1/seq-6.pdf
The times dispatch. [volume],players league,1911-03-12,https://chroniclingamerica.loc.gov/lccn/sn85038615/1911-03-12/ed-1/seq-43.pdf
The evening world. [volume],players league,1915-01-29,https://chroniclingamerica.loc.gov/lccn/sn83030193/1915-01-29/ed-1/seq-14.pdf
The Cheyenne daily leader. [volume],players league,1890-11-30,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-11-30/ed-1/seq-3.pdf
The Houston daily post. [volume],players league,1901-11-24,https://chroniclingamerica.loc.gov/lccn/sn86071197/1901-11-24/ed-1/seq-24.pdf
El Paso herald.,players league,1918-11-04,https://chroniclingamerica.loc.gov/lccn/sn88084272/1918-11-04/ed-1/seq-7.pdf
Waterbury evening Democrat. [volume],players league,1890-10-04,https://chroniclingamerica.loc.gov/lccn/sn94053256/1890-10-04/ed-1/seq-1.pdf
The Montgomery advertiser. [volume],players league,1915-01-22,https://chroniclingamerica.loc.gov/lccn/sn84020645/1915-01-22/ed-1/seq-8.pdf
